카드 코드,카드 단어,위치,변경 전,변경 후
ACT0,act,본문,programmes,programs
ACT0,act,스티커 캡션,theatre,theater
AUDI,audience,스티커 캡션,theatre,theater
BLAC,black,스티커 캡션,Colours,Colors
BLAC,black,본문,colour.,color.
BLUE,blue,스티커 캡션,Colours,Colors
BLUE,blue,본문,colour,color
BROW,brown,스티커 캡션,Colours,Colors
BROW,brown,본문,colour,color
BUTF,butterfly,본문,colourful,colorful
CHAM,chameleon,본문,colour,color
CLOW,clown,본문,colourful,colorful
COLO,color,제목,colour,color
COLO,color,본문,colours,colors
COLO,color,본문,colours.,colors.
CRAY,crayon,본문,coloured,colored
CROY,crown,스티커 캡션,Jewellery,Jewelry
DAIS,daisy,본문,centre.,center.
DIA1,diamond,스티커 캡션,Jewellery,Jewelry
DRAN,dragonfly,본문,coloured,colored
ELEP,elephant,본문,grey,gray
FLOW,flower,본문,colourful,colorful
FLOW,flower,본문,colours.,colors.
FOG0,fog,본문,grey,gray
GARD,garden,본문,colourful,colorful
GOLD,gold,본문,jewellery.,jewelry.
GREE,green,스티커 캡션,Colours,Colors
GREE,green,본문,colour,color
HARB,harbor,본문,harbour,harbor
HARB,harbor,제목,harbour,harbor
JEWE,jewel,스티커 캡션,Jewellery,Jewelry
JEWE,jewel,본문,jewellery.,jewelry.
KNIG,knight,본문,travelled,traveled
ORA1,orange,스티커 캡션,Colours,Colors
ORA1,orange,본문,colour,color
ORA2,orange,본문,coloured,colored
PAI1,paint,본문,coloured,colored
PARR,parrot,본문,coloured,colored
PEAK,peacock,본문,colourful,colorful
PEAV,pearl,본문,jewellery.,jewelry.
PEPP,pepper,본문,flavour,flavor
PETA,petal,본문,coloured,colored
PINK,pink,스티커 캡션,Colours,Colors
PINK,pink,본문,colour,color
PLH2,play,스티커 캡션,theatre,theater
PLH2,play,본문,theatre.,theater.
POPP,poppy,본문,coloured,colored
PUNC,puncture,본문,tyre,tire
PURP,purple,스티커 캡션,Colours,Colors
PURP,purple,본문,colour,color
RANW,rainbow,본문,colours.,colors.
RED0,red,스티커 캡션,Colours,Colors
RED0,red,본문,colour,color
RIN1,ring,스티커 캡션,Jewellery,Jewelry
SALT,salt,본문,flavour,flavor
SEAG,seagull,본문,grey,gray
SEAL,seal,본문,grey,gray
STRP,stripe,본문,colour.,color.
THEA,theater,제목,theatre,theater
TOUC,toucan,본문,coloured,colored
TUGB,tugboat,본문,harbour.,harbor.
WHTE,white,스티커 캡션,Colours,Colors
WHTE,white,본문,colour,color
YELL,yellow,스티커 캡션,Colours,Colors
YELL,yellow,본문,colour,color
YOGU,yogurt,본문,Yoghurt,Yogurt
YOGU,yogurt,본문,flavoured,flavored
YOGU,yogurt,제목,yoghurt,yogurt
